"","TICKER","gvkey","public_date","bm","ptb","GProf","npm","capital_ratio","totdebt_invcap","cash_lt","short_debt","debt_assets","de_ratio","sale_equity","sale_invcap"
"8523","STT","010035",2014-06-30,0.669,1.445,0.042,0.197,0.309,0.738,0.306,0.581,0.913,10.495,0.503,0.347
"8524","STT","010035",2015-03-31,0.599,1.554,0.038,0.191,0.319,0.742,0.387,0.57,0.922,11.766,0.498,0.339
"8525","STT","010035",2017-06-30,0.604,1.865,0.042,0.212,0.347,0.523,0.346,0.337,0.912,10.425,0.496,0.324
"8526","STT","010035",2015-04-30,0.599,1.627,0.038,0.191,0.319,0.742,0.387,0.57,0.922,11.766,0.498,0.339
"8527","STT","010035",2015-11-30,0.693,1.558,0.038,0.176,0.321,0.76,0.397,0.578,0.922,11.843,0.505,0.343
"8528","STT","010035",2014-07-31,0.669,1.513,0.042,0.197,0.309,0.738,0.306,0.581,0.913,10.495,0.503,0.347
"8529","TBBK","158587",2010-01-31,1.386,0.922,0.028,-0.446,0.065,0.305,0.114,0.788,0.892,8.288,0.422,0.394
"8530","TBBK","158587",2010-05-31,0.867,1.033,0.033,0.054,0.058,0.225,0.16,0.743,0.889,8.038,0.43,0.405
"8531","TBBK","158587",2010-02-28,1.146,0.894,0.031,0.045,0.052,0.449,0.197,0.884,0.88,7.334,0.374,0.355
"8532","TBBK","158587",2010-07-31,0.867,0.978,0.033,0.054,0.058,0.225,0.16,0.743,0.889,8.038,0.43,0.405
"8533","TBBK","158587",2010-08-31,0.994,0.825,0.03,0.046,0.056,0.182,0.176,0.69,0.892,8.248,0.427,0.403
"8534","TBBK","158587",2010-09-30,0.994,0.86,0.03,0.046,0.056,0.182,0.176,0.69,0.892,8.248,0.427,0.403
"8535","TBBK","158587",2010-06-30,0.867,1.015,0.033,0.054,0.058,0.225,0.16,0.743,0.889,8.038,0.43,0.405
"8536","TBBK","158587",2010-11-30,1.15,1.118,0.029,0.033,0.059,0.2,0.212,0.705,0.904,9.463,0.462,0.435
"8537","TBBK","158587",2010-12-31,1.15,1.322,0.029,0.033,0.059,0.2,0.212,0.705,0.904,9.463,0.462,0.435
"8538","TBBK","158587",2011-01-31,1.15,1.222,0.029,0.033,0.059,0.2,0.212,0.705,0.904,9.463,0.462,0.435
"8539","TBBK","158587",2011-02-28,0.747,1.116,0.029,0.051,0.063,0.771,0.215,0.918,0.917,11.044,0.519,0.487
"8540","TBBK","158587",2011-03-31,0.747,1.54,0.029,0.051,0.063,0.771,0.215,0.918,0.917,11.044,0.519,0.487
